R,v,eta_c
0.300000,0.500000,0.288245
0.300000,0.716667,0.414678
0.300000,0.933333,0.563634
0.300000,1.150000,0.655959
0.300000,1.366667,0.787089
0.500000,0.500000,0.338248
0.500000,0.716667,0.435297
0.500000,0.933333,0.587073
0.500000,1.150000,0.709416
0.700000,0.500000,0.294892
0.700000,0.716667,0.457824
0.700000,0.933333,0.589593
0.700000,1.150000,0.710719
0.900000,0.500000,0.292802
0.900000,0.716667,0.435280
0.900000,0.933333,0.589020
0.900000,1.150000,0.709819
1.100000,0.500000,0.291653
1.100000,0.716667,0.420680
1.100000,0.933333,0.533702
1.100000,1.150000,0.709538
1.300000,0.500000,0.290726
1.300000,0.716667,0.412590
1.300000,0.933333,0.533308
1.300000,1.150000,0.692480
1.500000,0.500000,0.292402
1.500000,0.716667,0.411673
1.500000,0.933333,0.532282
1.500000,1.150000,0.706084
